Path	Date_created	SizeInBytes	Size(Human-readable)	NumFiles	Extension	Depth
/Users/irwinkr/Documents/DataForKen	Feb 26 09:17:48 2025	20188672000	19G	134	tif,pdf,mp4,jpg,eml,docx,DS_Store	0
/Users/irwinkr/Documents/DataForKen/Lived Experiences	Feb 26 09:24:36 2025	552300544	527M	15	pdf,mp4,eml,docx,DS_Store	1
/Users/irwinkr/Documents/DataForKen/Lived Experiences/SC stories 2023	Feb 26 09:24:36 2025	552288256	527M	14	pdf,mp4,eml,docx,DS_Store	2
/Users/irwinkr/Documents/DataForKen/Lived Experiences/SC stories 2023/Signed Release Agreements	Feb 26 09:24:40 2025	933888	912K	6	pdf,eml,docx	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives	Feb 26 09:24:40 2025	11783409664	11G	63	tif,DS_Store	1
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Poet's Shack (PIC-6F1)	Feb 26 09:38:40 2025	1229484032	1.1G	17	tif,DS_Store	2
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Poet's Shack (PIC-6F1)/InProcess	Feb 26 09:38:40 2025	318492672	304M	8	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Poet's Shack (PIC-6F1)/Master	Feb 26 09:39:08 2025	910983168	869M	8	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Old Manse	Feb 26 09:36:44 2025	1484775424	1.4G	17	tif,DS_Store	2
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Old Manse/Access	Feb 26 09:36:44 2025	367964160	351M	4	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Old Manse/InProcess	Feb 26 09:37:16 2025	368136192	351M	4	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Old Manse/JPG	Feb 26 09:37:46 2025	128385024	122M	4	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Old Manse/Master	Feb 26 09:37:54 2025	620277760	592M	4	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Aerial Photos	Feb 26 09:24:40 2025	9069133824	8.4G	28	tif	2
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Aerial Photos/InProcess	Feb 26 09:24:40 2025	2679119872	2.5G	14	tif	3
/Users/irwinkr/Documents/DataForKen/Miami Photo Archives/Aerial Photos/Master	Feb 26 09:28:14 2025	6390013952	6.0G	14	tif	3
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection	Feb 26 09:17:48 2025	7852949504	7.3G	55	tif,jpg,DS_Store	1
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection/Box 1 JPG CC	Feb 26 09:17:50 2025	146882560	140M	9	jpg	2
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection/Ribbons_TradeCards	Feb 26 09:17:58 2025	5240987648	4.9G	27	tif,DS_Store	2
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection/Ribbons_TradeCards/InProcess	Feb 26 09:17:58 2025	1181835264	1.1G	13	tif	3
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection/Ribbons_TradeCards/Master	Feb 26 09:19:12 2025	4059144192	3.8G	13	tif	3
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection/Box 1 InProcess	Feb 26 09:17:48 2025	776937472	741M	9	tif	2
/Users/irwinkr/Documents/DataForKen/Benjamin Harrison Collection/Box 1 Master	Feb 26 09:17:56 2025	1688129536	1.6G	9	tif	2
